iter	Passed	Remaining
0	146	146351
1	147	73468
2	147	49131
3	148	36961
4	149	29659
5	149	24781
6	150	21293
7	150	18673
8	151	16635
9	151	15034
10	152	13737
11	153	12643
12	154	11708
13	154	10904
14	155	10207
15	155	9593
16	156	9051
17	157	8571
18	157	8139
19	158	7750
20	158	7399
21	159	7080
22	159	6788
23	160	6521
24	160	6276
25	161	6048
26	162	5838
27	162	5642
28	163	5460
29	163	5290
30	164	5132
31	164	4985
32	165	4851
33	166	4721
34	167	4609
35	168	4503
36	168	4395
37	169	4292
38	170	4195
39	170	4100
40	171	4009
41	172	3923
42	172	3841
43	173	3762
44	173	3686
45	174	3614
46	174	3544
47	175	3478
48	175	3415
49	176	3354
50	177	3296
51	177	3240
52	178	3186
53	178	3132
54	179	3085
55	180	3039
56	181	2994
57	181	2950
58	182	2906
59	182	2864
60	183	2827
61	184	2787
62	184	2749
63	185	2711
64	186	2676
65	186	2641
66	187	2607
67	187	2574
68	188	2542
69	188	2510
70	189	2479
71	190	2449
72	190	2421
73	191	2393
74	191	2365
75	192	2338
76	192	2312
77	193	2286
78	194	2269
79	196	2257
80	196	2234
81	197	2211
82	197	2186
83	198	2164
84	199	2143
85	199	2122
86	200	2101
87	200	2081
88	201	2061
89	201	2041
90	202	2022
91	203	2004
92	203	1985
93	204	1968
94	204	1950
95	205	1933
96	205	1916
97	206	1899
98	206	1883
99	207	1867
100	208	1851
101	208	1837
102	209	1823
103	209	1808
104	210	1794
105	211	1780
106	211	1767
107	212	1753
108	212	1740
109	213	1727
110	214	1714
111	214	1701
112	215	1689
113	215	1676
114	216	1664
115	216	1652
116	217	1640
117	217	1628
118	218	1617
119	218	1605
120	219	1594
121	219	1583
122	220	1572
123	221	1561
124	221	1551
125	222	1541
126	222	1530
127	223	1520
128	223	1511
129	224	1505
130	225	1497
131	226	1488
132	227	1479
133	227	1471
134	228	1462
135	228	1453
136	229	1445
137	229	1436
138	230	1428
139	231	1419
140	231	1411
141	232	1402
142	232	1394
143	233	1386
144	233	1378
145	234	1370
146	234	1362
147	235	1355
148	235	1347
149	236	1340
150	237	1333
151	237	1326
152	238	1319
153	239	1314
154	239	1307
155	240	1302
156	241	1296
157	242	1289
158	242	1283
159	243	1277
160	243	1269
161	244	1263
162	244	1256
163	245	1250
164	245	1244
165	246	1238
166	247	1232
167	247	1226
168	248	1220
169	248	1214
170	249	1208
171	249	1202
172	250	1197
173	251	1191
174	251	1186
175	252	1180
176	252	1175
177	253	1170
178	254	1169
179	255	1165
180	256	1160
181	257	1155
182	257	1150
183	258	1145
184	258	1140
185	259	1136
186	260	1131
187	260	1126
188	261	1121
189	261	1116
190	262	1112
191	263	1107
192	263	1102
193	264	1098
194	264	1093
195	265	1089
196	266	1085
197	266	1080
198	267	1076
199	267	1071
200	268	1067
201	269	1063
202	269	1059
203	270	1055
204	271	1051
205	271	1047
206	272	1043
207	272	1039
208	273	1035
209	274	1031
210	274	1027
211	275	1023
212	275	1019
213	276	1015
214	276	1011
215	277	1007
216	278	1003
217	278	999
218	279	995
219	279	991
220	280	987
221	280	984
222	281	980
223	281	976
224	282	972
225	283	969
226	283	965
227	284	962
228	285	959
229	285	956
230	286	953
231	286	949
232	287	946
233	288	942
234	288	939
235	289	936
236	289	932
237	290	929
238	290	925
239	291	922
240	291	919
241	292	916
242	292	912
243	293	909
244	294	906
245	294	903
246	295	900
247	295	896
248	296	893
249	296	890
250	297	887
251	298	884
252	298	882
253	299	879
254	300	876
255	300	873
256	301	871
257	301	868
258	302	865
259	303	862
260	303	859
261	304	856
262	304	853
263	305	851
264	305	848
265	306	845
266	307	842
267	307	840
268	308	837
269	308	834
270	309	831
271	309	829
272	310	826
273	310	823
274	311	820
275	311	818
276	312	815
277	313	813
278	313	810
279	314	808
280	314	805
281	315	803
282	316	800
283	316	798
284	317	796
285	317	793
286	318	791
287	318	788
288	319	786
289	320	783
290	320	781
291	321	779
292	321	776
293	322	774
294	323	771
295	323	769
296	324	767
297	324	764
298	325	762
299	325	760
300	326	758
301	327	755
302	327	753
303	329	755
304	330	753
305	331	751
306	331	749
307	332	746
308	333	744
309	333	742
310	334	740
311	334	737
312	335	735
313	335	733
314	336	731
315	336	729
316	337	727
317	338	724
318	338	722
319	339	720
320	339	718
321	340	716
322	341	715
323	341	713
324	344	714
325	345	713
326	358	738
327	359	736
328	360	734
329	360	732
330	361	730
331	362	728
332	362	726
333	363	724
334	364	722
335	364	720
336	365	718
337	365	716
338	366	715
339	367	713
340	368	711
341	368	709
342	369	707
